run_accession	experiment_accession	sample_accession	study_accession	sample_alias	sample_title	scientific_name	instrument_platform	instrument_model	library_strategy	library_layout	read_count	base_count	fastq_ftp	fastq_bytes	fastq_md5	submitted_ftp
ERR10181254	ERX9716820	SAMEA111350649	PRJEB56029	E-MTAB-12174:2DAE_R2	2DAE_R2	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	39994488	4039443288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10181254/ERR10181254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10181254/ERR10181254_2.fastq.gz	1866121638;1901884543	735252236e07db9324a1a95112b237e9;b3c6d69a99c420b3385970bf82af1fde	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181254/2DAE_R2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181254/2DAE_R2_2.fastq.gz
ERR10181260	ERX9716826	SAMEA111350655	PRJEB56029	E-MTAB-12174:4DAE_R2	4DAE_R2	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	45764926	4622257526	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/060/ERR10181260/ERR10181260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/060/ERR10181260/ERR10181260_2.fastq.gz	2129012765;2167296022	901030c63eb4d97a878eed8f66e1eb0f;31f1b6e7f02f8c08cbf21f8fa9d2e2af	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181260/4DAE_R2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181260/4DAE_R2_2.fastq.gz
ERR10181253	ERX9716819	SAMEA111350648	PRJEB56029	E-MTAB-12174:2DAE_R1	2DAE_R1	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	40842088	4125050888	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10181253/ERR10181253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10181253/ERR10181253_2.fastq.gz	1898608552;1937168196	05c0b37299a258859f92125a3ebae46c;bbce0154ef5b7383084f5a655ff1fd4e	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181253/2DAE_R1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181253/2DAE_R1_2.fastq.gz
ERR10181259	ERX9716825	SAMEA111350654	PRJEB56029	E-MTAB-12174:4DAE_R1	4DAE_R1	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	46792448	4726037248	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/059/ERR10181259/ERR10181259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/059/ERR10181259/ERR10181259_2.fastq.gz	2161598245;2202563070	836b83c7e84cf6280b2c5e6bfb6f8f04;f8c93bd7126006a9faec7cccb4207bf5	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181259/4DAE_R1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181259/4DAE_R1_2.fastq.gz
ERR10181261	ERX9716827	SAMEA111350656	PRJEB56029	E-MTAB-12174:4DAE_R3	4DAE_R3	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	47009856	4747995456	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/061/ERR10181261/ERR10181261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/061/ERR10181261/ERR10181261_2.fastq.gz	2188971588;2231367414	68a498e2f53c8ca789ddc1558c80a23c;703f962baf6008d54a2c72879c0d7883	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181261/4DAE_R3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181261/4DAE_R3_2.fastq.gz
ERR10181256	ERX9716822	SAMEA111350651	PRJEB56029	E-MTAB-12174:3DAE_R1	3DAE_R1	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	39414064	3980820464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/056/ERR10181256/ERR10181256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/056/ERR10181256/ERR10181256_2.fastq.gz	1836530198;1873740967	3a943f1a72d629549765b706badfbddd;c85db1d41ff3f4c177337a54157f423f	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181256/3DAE_R1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181256/3DAE_R1_2.fastq.gz
ERR10181257	ERX9716823	SAMEA111350652	PRJEB56029	E-MTAB-12174:3DAE_R2	3DAE_R2	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	45247648	4570012448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/057/ERR10181257/ERR10181257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/057/ERR10181257/ERR10181257_2.fastq.gz	2106955742;2146140104	2019258c721b9e43a1a5e5001f0a4225;e0ae1ece62a52b91ed60173b40ce73d1	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181257/3DAE_R2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181257/3DAE_R2_2.fastq.gz
ERR10181255	ERX9716821	SAMEA111350650	PRJEB56029	E-MTAB-12174:2DAE_R3	2DAE_R3	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	47474894	4794964294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/055/ERR10181255/ERR10181255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/055/ERR10181255/ERR10181255_2.fastq.gz	2201919092;2241892796	b3aaa03bd95d9bf30e402cf7676de05c;600badb9d653bbbf22d37a063a162c1a	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181255/2DAE_R3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181255/2DAE_R3_2.fastq.gz
ERR10181258	ERX9716824	SAMEA111350653	PRJEB56029	E-MTAB-12174:3DAE_R3	3DAE_R3	Arabidopsis thaliana	ILLUMINA	Illumina HiSeq 2000	RNA-Seq	PAIRED	51635774	5215213174	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/058/ERR10181258/ERR10181258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/058/ERR10181258/ERR10181258_2.fastq.gz	2393510372;2438872606	0fe6528436891dd0eb58849b9fdd0dd6;37203ab5cc66cb158a840c0c8561ef0c	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181258/3DAE_R3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10181258/3DAE_R3_2.fastq.gz
